Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
21,Gen52_Ind7137,1111001100010011010000100011001111,-29,27,12,22,9,6,8192,5,3.5662961184303392
22,Gen52_Ind7129,1100001011110000110111010011011101,16,25,7,29,5,6,32768,5,3.5455199004039035
23,Gen52_Ind7055,1101010011100010110011010011001101,-42,24,11,25,5,6,8192,5,3.5444695241901987
24,Gen52_Ind7047,1111110100011110010111110111000100,6,27,10,29,8,6,4096,4,3.535411613048478
25,Gen52_Ind7086,1100101011101100010111011111001100,-29,24,30,29,8,6,8192,4,3.535411613048478
26,Gen52_Ind7071,0011111100101100110010010111001111,-19,28,21,24,6,6,8192,0,3.5334642285671425
27,Gen52_Ind7019,1101001100011010110001101011101111,-33,27,27,23,7,6,131072,2,3.530603673393232
28,Gen52_Ind7024,0111100100100001110101011010001101,10,28,9,27,7,5,8192,5,3.530129660693475
29,Gen52_Ind7039,0111001011100010010101011010011101,7,24,10,27,7,5,32768,5,3.530129660693475
30,Gen52_Ind7066,0011111011101011110101011010001101,-19,24,29,27,7,5,8192,5,3.530129660693475
31,Gen52_Ind7134,0100111011101001111011011010100101,-11,24,25,30,7,5,65536,5,3.519582832666123
32,Gen52_Ind7031,0111100011100010110101111011011100,10,24,11,27,7,6,32768,4,3.5010687077268225
33,Gen52_Ind7029,0110001100111001110111101111001101,-1,29,25,29,8,6,8192,5,3.5005321433961973
34,Gen52_Ind7123,1101001100101111010011111011011101,-31,28,18,25,8,6,32768,5,3.4995867813361357
35,Gen52_Ind7125,0111100110000101110111011111001101,10,13,17,29,8,6,8192,5,3.4855882615893528
36,Gen52_Ind7074,1111100010100000111111011011100101,-11,20,7,11,7,6,65536,5,3.485523788677989
37,Gen52_Ind7130,0111000010100000110011111111111101,6,20,7,25,4,6,4096,5,3.4851262584228793
38,Gen52_Ind7101,0111100100111000110101111110001100,10,29,23,27,9,5,8192,4,3.4786389411080583
39,Gen52_Ind7099,1001101100110000101110100110101101,-25,29,7,20,10,5,131072,5,3.473674548786651
40,Gen52_Ind7124,0011101010100000110111010111011111,-21,20,7,29,6,6,32768,0,3.452004301938697
